,Station,Station_ID,1,2,3,4,5,6,7,8,9,10,PM
2,Division Street,3,0.086,0.5503,0.0332,0.0242,0.1601,0.1008,0.0165,0.0288,0.0002,0.123645,0
3,IS 143,4,0.2362,0.2658,0.0039,0.0392,0.1272,0.276,0.0136,0.0308,0.0073,0.122644,2
4,PS 314,5,0.4856,0.1066,0.0856,0.1638,0.0673,0.0574,0.0172,0.0151,0.0015,0.110728,0
5,PS 274,6,0.6287,0.1258,0.0248,0.0069,0.1292,0.006,0.031,0.0422,0.0053,0.074053,0
6,Port Richmond ,7,0.756,0.0758,0.0042,0.0138,0.1109,0.0068,0.0099,0.0226,0,0.056477,0
7,Fresh Kills,8,0.0274,0.0056,0.0119,0.74,0,0.1788,0.0107,0.0255,0,0.035133,0
8,IS 74,9,0.1873,0.0765,0.1803,0.0868,0.1036,0.0313,0.0543,0.2325,0.0474,0.079484,0
9,IS 52,10,0.4608,0.1412,0.0339,0.0848,0.1564,0.0676,0.028,0.025,0.0024,0.093277,1
10,Morrisania,11,0.4281,0.2408,0.0231,0.0209,0.1354,0.0867,0.0519,0.0131,0.0001,0.093819,0
11,Queens College,12,0.3444,0.0095,0,0.0016,0.3758,0.2625,0.0053,0.0009,0,0.059953,0
12,Maspeth,14,0.7633,0.0611,0.008,0.0549,0.0669,0.0217,0.0212,0.003,0,0.092584,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,1
1,CCNY,2,0.3741,0.1237,0.0073,0.0031,0.2902,0.1584,0.0085,0.0346,0,0.093631,1
2,Division Street,3,0.086,0.5503,0.0332,0.0242,0.1601,0.1008,0.0165,0.0288,0.0002,0.123645,1
3,IS 143,4,0.2362,0.2658,0.0039,0.0392,0.1272,0.276,0.0136,0.0308,0.0073,0.122644,1
4,PS 314,5,0.4856,0.1066,0.0856,0.1638,0.0673,0.0574,0.0172,0.0151,0.0015,0.110728,1
5,PS 274,6,0.6287,0.1258,0.0248,0.0069,0.1292,0.006,0.031,0.0422,0.0053,0.074053,1
6,Port Richmond ,7,0.756,0.0758,0.0042,0.0138,0.1109,0.0068,0.0099,0.0226,0,0.056477,2
7,Fresh Kills,8,0.0274,0.0056,0.0119,0.74,0,0.1788,0.0107,0.0255,0,0.035133,1
8,IS 74,9,0.1873,0.0765,0.1803,0.0868,0.1036,0.0313,0.0543,0.2325,0.0474,0.079484,1
9,IS 52,10,0.4608,0.1412,0.0339,0.0848,0.1564,0.0676,0.028,0.025,0.0024,0.093277,0
10,Morrisania,11,0.4281,0.2408,0.0231,0.0209,0.1354,0.0867,0.0519,0.0131,0.0001,0.093819,1
11,Queens College,12,0.3444,0.0095,0,0.0016,0.3758,0.2625,0.0053,0.0009,0,0.059953,0
12,Maspeth,14,0.7633,0.0611,0.008,0.0549,0.0669,0.0217,0.0212,0.003,0,0.092584,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,1
1,CCNY,2,0.3741,0.1237,0.0073,0.0031,0.2902,0.1584,0.0085,0.0346,0,0.093631,1
2,Division Street,3,0.086,0.5503,0.0332,0.0242,0.1601,0.1008,0.0165,0.0288,0.0002,0.123645,0
3,IS 143,4,0.2362,0.2658,0.0039,0.0392,0.1272,0.276,0.0136,0.0308,0.0073,0.122644,1
4,PS 314,5,0.4856,0.1066,0.0856,0.1638,0.0673,0.0574,0.0172,0.0151,0.0015,0.110728,0
5,PS 274,6,0.6287,0.1258,0.0248,0.0069,0.1292,0.006,0.031,0.0422,0.0053,0.074053,0
6,Port Richmond ,7,0.756,0.0758,0.0042,0.0138,0.1109,0.0068,0.0099,0.0226,0,0.056477,0
7,Fresh Kills,8,0.0274,0.0056,0.0119,0.74,0,0.1788,0.0107,0.0255,0,0.035133,0
8,IS 74,9,0.1873,0.0765,0.1803,0.0868,0.1036,0.0313,0.0543,0.2325,0.0474,0.079484,1
9,IS 52,10,0.4608,0.1412,0.0339,0.0848,0.1564,0.0676,0.028,0.025,0.0024,0.093277,1
10,Morrisania,11,0.4281,0.2408,0.0231,0.0209,0.1354,0.0867,0.0519,0.0131,0.0001,0.093819,1
11,Queens College,12,0.3444,0.0095,0,0.0016,0.3758,0.2625,0.0053,0.0009,0,0.059953,1
12,Maspeth,14,0.7633,0.0611,0.008,0.0549,0.0669,0.0217,0.0212,0.003,0,0.092584,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,0
1,CCNY,2,0.3741,0.1237,0.0073,0.0031,0.2902,0.1584,0.0085,0.0346,0,0.093631,0
2,Division Street,3,0.086,0.5503,0.0332,0.0242,0.1601,0.1008,0.0165,0.0288,0.0002,0.123645,1
3,IS 143,4,0.2362,0.2658,0.0039,0.0392,0.1272,0.276,0.0136,0.0308,0.0073,0.122644,0
4,PS 314,5,0.4856,0.1066,0.0856,0.1638,0.0673,0.0574,0.0172,0.0151,0.0015,0.110728,0
5,PS 274,6,0.6287,0.1258,0.0248,0.0069,0.1292,0.006,0.031,0.0422,0.0053,0.074053,0
6,Port Richmond ,7,0.756,0.0758,0.0042,0.0138,0.1109,0.0068,0.0099,0.0226,0,0.056477,0
7,Fresh Kills,8,0.0274,0.0056,0.0119,0.74,0,0.1788,0.0107,0.0255,0,0.035133,0
8,IS 74,9,0.1873,0.0765,0.1803,0.0868,0.1036,0.0313,0.0543,0.2325,0.0474,0.079484,0
9,IS 52,10,0.4608,0.1412,0.0339,0.0848,0.1564,0.0676,0.028,0.025,0.0024,0.093277,1
10,Morrisania,11,0.4281,0.2408,0.0231,0.0209,0.1354,0.0867,0.0519,0.0131,0.0001,0.093819,0
11,Queens College,12,0.3444,0.0095,0,0.0016,0.3758,0.2625,0.0053,0.0009,0,0.059953,1
12,Maspeth,14,0.7633,0.0611,0.008,0.0549,0.0669,0.0217,0.0212,0.003,0,0.092584,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,1
1,CCNY,2,0.3741,0.1237,0.0073,0.0031,0.2902,0.1584,0.0085,0.0346,0,0.093631,0
2,Division Street,3,0.086,0.5503,0.0332,0.0242,0.1601,0.1008,0.0165,0.0288,0.0002,0.123645,1
3,IS 143,4,0.2362,0.2658,0.0039,0.0392,0.1272,0.276,0.0136,0.0308,0.0073,0.122644,0
4,PS 314,5,0.4856,0.1066,0.0856,0.1638,0.0673,0.0574,0.0172,0.0151,0.0015,0.110728,0
5,PS 274,6,0.6287,0.1258,0.0248,0.0069,0.1292,0.006,0.031,0.0422,0.0053,0.074053,0
6,Port Richmond ,7,0.756,0.0758,0.0042,0.0138,0.1109,0.0068,0.0099,0.0226,0,0.056477,0
7,Fresh Kills,8,0.0274,0.0056,0.0119,0.74,0,0.1788,0.0107,0.0255,0,0.035133,0
8,IS 74,9,0.1873,0.0765,0.1803,0.0868,0.1036,0.0313,0.0543,0.2325,0.0474,0.079484,0
9,IS 52,10,0.4608,0.1412,0.0339,0.0848,0.1564,0.0676,0.028,0.025,0.0024,0.093277,0
10,Morrisania,11,0.4281,0.2408,0.0231,0.0209,0.1354,0.0867,0.0519,0.0131,0.0001,0.093819,0
11,Queens College,12,0.3444,0.0095,0,0.0016,0.3758,0.2625,0.0053,0.0009,0,0.059953,0
12,Maspeth,14,0.7633,0.0611,0.008,0.0549,0.0669,0.0217,0.0212,0.003,0,0.092584,1
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,1
1,CCNY,2,0.3741,0.1237,0.0073,0.0031,0.2902,0.1584,0.0085,0.0346,0,0.093631,0
2,Division Street,3,0.086,0.5503,0.0332,0.0242,0.1601,0.1008,0.0165,0.0288,0.0002,0.123645,1
3,IS 143,4,0.2362,0.2658,0.0039,0.0392,0.1272,0.276,0.0136,0.0308,0.0073,0.122644,1
4,PS 314,5,0.4856,0.1066,0.0856,0.1638,0.0673,0.0574,0.0172,0.0151,0.0015,0.110728,1
5,PS 274,6,0.6287,0.1258,0.0248,0.0069,0.1292,0.006,0.031,0.0422,0.0053,0.074053,1
6,Port Richmond ,7,0.756,0.0758,0.0042,0.0138,0.1109,0.0068,0.0099,0.0226,0,0.056477,1
7,Fresh Kills,8,0.0274,0.0056,0.0119,0.74,0,0.1788,0.0107,0.0255,0,0.035133,0
8,IS 74,9,0.1873,0.0765,0.1803,0.0868,0.1036,0.0313,0.0543,0.2325,0.0474,0.079484,1
9,IS 52,10,0.4608,0.1412,0.0339,0.0848,0.1564,0.0676,0.028,0.025,0.0024,0.093277,2
10,Morrisania,11,0.4281,0.2408,0.0231,0.0209,0.1354,0.0867,0.0519,0.0131,0.0001,0.093819,0
11,Queens College,12,0.3444,0.0095,0,0.0016,0.3758,0.2625,0.0053,0.0009,0,0.059953,2
12,Maspeth,14,0.7633,0.0611,0.008,0.0549,0.0669,0.0217,0.0212,0.003,0,0.092584,0
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,2
1,CCNY,2,0.3741,0.1237,0.0073,0.0031,0.2902,0.1584,0.0085,0.0346,0,0.093631,1
2,Division Street,3,0.086,0.5503,0.0332,0.0242,0.1601,0.1008,0.0165,0.0288,0.0002,0.123645,2
3,IS 143,4,0.2362,0.2658,0.0039,0.0392,0.1272,0.276,0.0136,0.0308,0.0073,0.122644,1
4,PS 314,5,0.4856,0.1066,0.0856,0.1638,0.0673,0.0574,0.0172,0.0151,0.0015,0.110728,1
5,PS 274,6,0.6287,0.1258,0.0248,0.0069,0.1292,0.006,0.031,0.0422,0.0053,0.074053,2
6,Port Richmond ,7,0.756,0.0758,0.0042,0.0138,0.1109,0.0068,0.0099,0.0226,0,0.056477,1
7,Fresh Kills,8,0.0274,0.0056,0.0119,0.74,0,0.1788,0.0107,0.0255,0,0.035133,2
8,IS 74,9,0.1873,0.0765,0.1803,0.0868,0.1036,0.0313,0.0543,0.2325,0.0474,0.079484,2
9,IS 52,10,0.4608,0.1412,0.0339,0.0848,0.1564,0.0676,0.028,0.025,0.0024,0.093277,0
10,Morrisania,11,0.4281,0.2408,0.0231,0.0209,0.1354,0.0867,0.0519,0.0131,0.0001,0.093819,2
11,Queens College,12,0.3444,0.0095,0,0.0016,0.3758,0.2625,0.0053,0.0009,0,0.059953,0
12,Maspeth,14,0.7633,0.0611,0.008,0.0549,0.0669,0.0217,0.0212,0.003,0,0.092584,2
0,PS 19,1,0.2681,0.4507,0.0036,0.0176,0.1471,0.0877,0.004,0.021,0.0003,0.081381,1
1,CCNY,2,0.3741,0.1237,0.0073,0.0031,0.2902,0.1584,0.0085,0.0346,0,0.093631,1
2,Division Street,3,0.086,0.5503,0.0332,0.0242,0.1601,0.1008,0.0165,0.0288,0.0002,0.123645,1
3,IS 143,4,0.2362,0.2658,0.0039,0.0392,0.1272,0.276,0.0136,0.0308,0.0073,0.122644,1
4,PS 314,5,0.4856,0.1066,0.0856,0.1638,0.0673,0.0574,0.0172,0.0151,0.0015,0.110728,1
5,PS 274,6,0.6287,0.1258,0.0248,0.0069,0.1292,0.006,0.031,0.0422,0.0053,0.074053,1
6,Port Richmond ,7,0.756,0.0758,0.0042,0.0138,0.1109,0.0068,0.0099,0.0226,0,0.056477,1
7,Fresh Kills,8,0.0274,0.0056,0.0119,0.74,0,0.1788,0.0107,0.0255,0,0.035133,2
8,IS 74,9,0.1873,0.0765,0.1803,0.0868,0.1036,0.0313,0.0543,0.2325,0.0474,0.079484,1
9,IS 52,10,0.4608,0.1412,0.0339,0.0848,0.1564,0.0676,0.028,0.025,0.0024,0.093277,0
10,Morrisania,11,0.4281,0.2408,0.0231,0.0209,0.1354,0.0867,0.0519,0.0131,0.0001,0.093819,1
11,Queens College,12,0.3444,0.0095,0,0.0016,0.3758,0.2625,0.0053,0.0009,0,0.059953,0
12,Maspeth,14,0.7633,0.0611,0.008,0.0549,0.0669,0.0217,0.0212,0.003,0,0.092584,0
